"Age","DHB","demography","measure","number","QtYR","Demogfacet"
"12 months","Auckland","DepTotal","eligible","4846","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Bay of Plenty","DepTotal","eligible","3336","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Canterbury","DepTotal","eligible","6559","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Capital and Coast","DepTotal","eligible","3012","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Counties Manukau","DepTotal","eligible","8584","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Hawke's Bay","DepTotal","eligible","2215","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Hutt Valley","DepTotal","eligible","2052","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Lakes","DepTotal","eligible","1508","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","MidCentral","DepTotal","eligible","2254","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Nelson Marlborough","DepTotal","eligible","1531","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Northland","DepTotal","eligible","2427","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","South Canterbury","DepTotal","eligible","612","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Southern","DepTotal","eligible","3413","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Tairawhiti","DepTotal","eligible","742","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Taranaki","DepTotal","eligible","1516","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Waikato","DepTotal","eligible","5783","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Wairarapa","DepTotal","eligible","555","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Waitemata","DepTotal","eligible","7566","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","West Coast","DepTotal","eligible","308","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Whanganui","DepTotal","eligible","868","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","National Total","DepTotal","eligible","59384","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Auckland","DepTotal","eligible","4831","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Bay of Plenty","DepTotal","eligible","3333","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Canterbury","DepTotal","eligible","6518","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Capital and Coast","DepTotal","eligible","3015","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Counties Manukau","DepTotal","eligible","8471","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Hawke's Bay","DepTotal","eligible","2159","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Hutt Valley","DepTotal","eligible","1970","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Lakes","DepTotal","eligible","1490","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","MidCentral","DepTotal","eligible","2264","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Nelson Marlborough","DepTotal","eligible","1531","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Northland","DepTotal","eligible","2488","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","South Canterbury","DepTotal","eligible","595","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Southern","DepTotal","eligible","3402","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Tairawhiti","DepTotal","eligible","724","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Taranaki","DepTotal","eligible","1534","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Waikato","DepTotal","eligible","5760","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Wairarapa","DepTotal","eligible","546","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Waitemata","DepTotal","eligible","7549","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","West Coast","DepTotal","eligible","336","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Whanganui","DepTotal","eligible","844","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","National Total","DepTotal","eligible","60143","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Auckland","DepTotal","eligible","4915","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Bay of Plenty","DepTotal","eligible","3352","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Canterbury","DepTotal","eligible","6653","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Capital and Coast","DepTotal","eligible","3077","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Counties Manukau","DepTotal","eligible","8530","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Hawke's Bay","DepTotal","eligible","2075","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Hutt Valley","DepTotal","eligible","1965","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Lakes","DepTotal","eligible","1550","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","MidCentral","DepTotal","eligible","2247","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Nelson Marlborough","DepTotal","eligible","1526","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Northland","DepTotal","eligible","2547","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","South Canterbury","DepTotal","eligible","638","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Southern","DepTotal","eligible","3482","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Tairawhiti","DepTotal","eligible","713","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Taranaki","DepTotal","eligible","1584","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Waikato","DepTotal","eligible","5682","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Wairarapa","DepTotal","eligible","594","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Waitemata","DepTotal","eligible","7759","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","West Coast","DepTotal","eligible","337","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"24 months","Whanganui","DepTotal","eligible","885","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","National Total","DepTotal","eligible","62797","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Auckland","DepTotal","eligible","5116","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Bay of Plenty","DepTotal","eligible","3538","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Canterbury","DepTotal","eligible","6831","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Capital and Coast","DepTotal","eligible","3279","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Counties Manukau","DepTotal","eligible","8571","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Hawke's Bay","DepTotal","eligible","2269","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Hutt Valley","DepTotal","eligible","2049","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Lakes","DepTotal","eligible","1619","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","MidCentral","DepTotal","eligible","2309","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Nelson Marlborough","DepTotal","eligible","1658","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Northland","DepTotal","eligible","2560","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","South Canterbury","DepTotal","eligible","716","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Southern","DepTotal","eligible","3692","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Tairawhiti","DepTotal","eligible","758","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Taranaki","DepTotal","eligible","1660","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Waikato","DepTotal","eligible","6017","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Wairarapa","DepTotal","eligible","636","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Waitemata","DepTotal","eligible","8242","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","West Coast","DepTotal","eligible","351","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"54 months","Whanganui","DepTotal","eligible","891","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","National Total","DepTotal","eligible","63421","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Auckland","DepTotal","eligible","5140","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Bay of Plenty","DepTotal","eligible","3442","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Canterbury","DepTotal","eligible","6859","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Capital and Coast","DepTotal","eligible","3321","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Counties Manukau","DepTotal","eligible","8539","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Hawke's Bay","DepTotal","eligible","2295","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Hutt Valley","DepTotal","eligible","2087","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Lakes","DepTotal","eligible","1627","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","MidCentral","DepTotal","eligible","2390","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Nelson Marlborough","DepTotal","eligible","1747","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Northland","DepTotal","eligible","2715","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","South Canterbury","DepTotal","eligible","708","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Southern","DepTotal","eligible","3656","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Tairawhiti","DepTotal","eligible","762","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Taranaki","DepTotal","eligible","1683","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Waikato","DepTotal","eligible","6133","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Wairarapa","DepTotal","eligible","571","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Waitemata","DepTotal","eligible","8469","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","West Coast","DepTotal","eligible","336","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"5 years","Whanganui","DepTotal","eligible","896","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","National Total","DepTotal","full","44960","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Auckland","DepTotal","full","3984","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Bay of Plenty","DepTotal","full","2094","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Canterbury","DepTotal","full","5804","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Capital and Coast","DepTotal","full","2586","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Counties Manukau","DepTotal","full","6120","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Hawke's Bay","DepTotal","full","1504","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Hutt Valley","DepTotal","full","1692","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Lakes","DepTotal","full","972","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","MidCentral","DepTotal","full","1688","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Nelson Marlborough","DepTotal","full","1182","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Northland","DepTotal","full","1387","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","South Canterbury","DepTotal","full","522","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Southern","DepTotal","full","2945","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Tairawhiti","DepTotal","full","466","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Taranaki","DepTotal","full","1089","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Waikato","DepTotal","full","3821","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Wairarapa","DepTotal","full","450","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Waitemata","DepTotal","full","5853","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","West Coast","DepTotal","full","206","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"6 months","Whanganui","DepTotal","full","574","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","National Total","DepTotal","full","53088","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Auckland","DepTotal","full","4471","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Bay of Plenty","DepTotal","full","2623","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Canterbury","DepTotal","full","6412","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Capital and Coast","DepTotal","full","2858","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Counties Manukau","DepTotal","full","7505","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Hawke's Bay","DepTotal","full","1962","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Hutt Valley","DepTotal","full","1859","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Lakes","DepTotal","full","1189","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","MidCentral","DepTotal","full","1975","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Nelson Marlborough","DepTotal","full","1338","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Northland","DepTotal","full","1932","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","South Canterbury","DepTotal","full","595","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Southern","DepTotal","full","3257","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Tairawhiti","DepTotal","full","618","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Taranaki","DepTotal","full","1294","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Waikato","DepTotal","full","4915","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Wairarapa","DepTotal","full","501","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Waitemata","DepTotal","full","6803","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","West Coast","DepTotal","full","251","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"8 months","Whanganui","DepTotal","full","703","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","National Total","DepTotal","full","53674","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Auckland","DepTotal","full","4489","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Bay of Plenty","DepTotal","full","2768","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Canterbury","DepTotal","full","6191","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Capital and Coast","DepTotal","full","2824","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Counties Manukau","DepTotal","full","7654","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Hawke's Bay","DepTotal","full","2007","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Hutt Valley","DepTotal","full","1899","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Lakes","DepTotal","full","1249","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","MidCentral","DepTotal","full","1984","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Nelson Marlborough","DepTotal","full","1357","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Northland","DepTotal","full","1998","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","South Canterbury","DepTotal","full","576","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Southern","DepTotal","full","3229","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Tairawhiti","DepTotal","full","651","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Taranaki","DepTotal","full","1325","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Waikato","DepTotal","full","5072","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Wairarapa","DepTotal","full","509","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Waitemata","DepTotal","full","6876","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","West Coast","DepTotal","full","253","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"12 months","Whanganui","DepTotal","full","738","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","National Total","DepTotal","full","42087","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Auckland","DepTotal","full","3680","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Bay of Plenty","DepTotal","full","2127","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Canterbury","DepTotal","full","5243","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Capital and Coast","DepTotal","full","2355","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Counties Manukau","DepTotal","full","5655","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Hawke's Bay","DepTotal","full","1344","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Hutt Valley","DepTotal","full","1537","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Lakes","DepTotal","full","874","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","MidCentral","DepTotal","full","1541","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Nelson Marlborough","DepTotal","full","1198","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
"18 months","Northland","DepTotal","full","1283","1 April 2021 to 31 March 2022 (Excel, 64 KB).xlsx","Deprivation"
