"Age","DHB","demography","measure","number","QtYR","Demogfacet"
NA,"West Coast","DepTotal","eligible","32","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Whanganui","DepTotal","eligible","39","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","National Total","DepTotal","eligible","9811","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Auckland","DepTotal","eligible","893","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Bay of Plenty","DepTotal","eligible","359","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Canterbury","DepTotal","eligible","1934","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Capital and Coast","DepTotal","eligible","921","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Counties Manukau","DepTotal","eligible","945","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Hawke's Bay","DepTotal","eligible","175","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Hutt Valley","DepTotal","eligible","376","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Lakes","DepTotal","eligible","116","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","MidCentral","DepTotal","eligible","221","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Nelson Marlborough","DepTotal","eligible","234","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Northland","DepTotal","eligible","105","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","South Canterbury","DepTotal","eligible","89","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Southern","DepTotal","eligible","908","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Tairawhiti","DepTotal","eligible","42","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Taranaki","DepTotal","eligible","208","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Waikato","DepTotal","eligible","707","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Wairarapa","DepTotal","eligible","71","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Waitemata","DepTotal","eligible","1428","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","West Coast","DepTotal","eligible","36","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Whanganui","DepTotal","eligible","43","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","National Total","DepTotal","eligible","10092","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Auckland","DepTotal","eligible","904","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Bay of Plenty","DepTotal","eligible","356","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Canterbury","DepTotal","eligible","1993","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Capital and Coast","DepTotal","eligible","932","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Counties Manukau","DepTotal","eligible","977","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Hawke's Bay","DepTotal","eligible","165","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Hutt Valley","DepTotal","eligible","364","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Lakes","DepTotal","eligible","124","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","MidCentral","DepTotal","eligible","224","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Nelson Marlborough","DepTotal","eligible","236","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Northland","DepTotal","eligible","116","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","South Canterbury","DepTotal","eligible","103","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Southern","DepTotal","eligible","940","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Tairawhiti","DepTotal","eligible","47","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Taranaki","DepTotal","eligible","223","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Waikato","DepTotal","eligible","701","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Wairarapa","DepTotal","eligible","82","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Waitemata","DepTotal","eligible","1520","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","West Coast","DepTotal","eligible","36","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Whanganui","DepTotal","eligible","49","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","National Total","DepTotal","eligible","10237","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Auckland","DepTotal","eligible","933","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Bay of Plenty","DepTotal","eligible","371","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Canterbury","DepTotal","eligible","2002","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Capital and Coast","DepTotal","eligible","965","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Counties Manukau","DepTotal","eligible","961","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Hawke's Bay","DepTotal","eligible","209","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Hutt Valley","DepTotal","eligible","366","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Lakes","DepTotal","eligible","123","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","MidCentral","DepTotal","eligible","243","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Nelson Marlborough","DepTotal","eligible","228","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Northland","DepTotal","eligible","113","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","South Canterbury","DepTotal","eligible","96","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Southern","DepTotal","eligible","944","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Tairawhiti","DepTotal","eligible","54","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Taranaki","DepTotal","eligible","206","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Waikato","DepTotal","eligible","701","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Wairarapa","DepTotal","eligible","79","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Waitemata","DepTotal","eligible","1564","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","West Coast","DepTotal","eligible","30","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Whanganui","DepTotal","eligible","49","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","National Total","DepTotal","eligible","10214","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Auckland","DepTotal","eligible","946","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Bay of Plenty","DepTotal","eligible","360","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Canterbury","DepTotal","eligible","2040","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Capital and Coast","DepTotal","eligible","990","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Counties Manukau","DepTotal","eligible","934","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Hawke's Bay","DepTotal","eligible","212","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Hutt Valley","DepTotal","eligible","372","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Lakes","DepTotal","eligible","107","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","MidCentral","DepTotal","eligible","250","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Nelson Marlborough","DepTotal","eligible","230","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Northland","DepTotal","eligible","112","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","South Canterbury","DepTotal","eligible","95","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Southern","DepTotal","eligible","914","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Tairawhiti","DepTotal","eligible","55","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Taranaki","DepTotal","eligible","195","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Waikato","DepTotal","eligible","741","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Wairarapa","DepTotal","eligible","67","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Waitemata","DepTotal","eligible","1516","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","West Coast","DepTotal","eligible","34","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"24 months","Whanganui","DepTotal","eligible","44","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","National Total","DepTotal","eligible","12198","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Auckland","DepTotal","eligible","1078","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Bay of Plenty","DepTotal","eligible","434","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Canterbury","DepTotal","eligible","2315","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Capital and Coast","DepTotal","eligible","1115","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Counties Manukau","DepTotal","eligible","1164","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Hawke's Bay","DepTotal","eligible","268","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Hutt Valley","DepTotal","eligible","422","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Lakes","DepTotal","eligible","153","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","MidCentral","DepTotal","eligible","327","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Nelson Marlborough","DepTotal","eligible","306","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Northland","DepTotal","eligible","138","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","South Canterbury","DepTotal","eligible","124","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Southern","DepTotal","eligible","1052","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Tairawhiti","DepTotal","eligible","66","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Taranaki","DepTotal","eligible","242","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Waikato","DepTotal","eligible","879","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Wairarapa","DepTotal","eligible","73","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Waitemata","DepTotal","eligible","1956","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","West Coast","DepTotal","eligible","31","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"54 months","Whanganui","DepTotal","eligible","55","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","National Total","DepTotal","eligible","12278","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Auckland","DepTotal","eligible","1053","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Bay of Plenty","DepTotal","eligible","451","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Canterbury","DepTotal","eligible","2331","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Capital and Coast","DepTotal","eligible","1176","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Counties Manukau","DepTotal","eligible","1112","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Hawke's Bay","DepTotal","eligible","269","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Hutt Valley","DepTotal","eligible","410","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Lakes","DepTotal","eligible","164","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","MidCentral","DepTotal","eligible","330","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Nelson Marlborough","DepTotal","eligible","293","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Northland","DepTotal","eligible","152","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","South Canterbury","DepTotal","eligible","118","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Southern","DepTotal","eligible","1084","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Tairawhiti","DepTotal","eligible","73","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Taranaki","DepTotal","eligible","254","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Waikato","DepTotal","eligible","899","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Wairarapa","DepTotal","eligible","81","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Waitemata","DepTotal","eligible","1943","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","West Coast","DepTotal","eligible","28","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"5 years","Whanganui","DepTotal","eligible","57","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"Milestone age for CI","DHB of residence","DepTotal","full","# Fully immunised","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"6 months","National Total","DepTotal","full","8121","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Auckland","DepTotal","full","721","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Bay of Plenty","DepTotal","full","259","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Canterbury","DepTotal","full","1739","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Capital and Coast","DepTotal","full","769","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Counties Manukau","DepTotal","full","766","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Hawke's Bay","DepTotal","full","146","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Hutt Valley","DepTotal","full","337","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Lakes","DepTotal","full","81","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"MidCentral","DepTotal","full","204","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Nelson Marlborough","DepTotal","full","189","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Northland","DepTotal","full","72","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"South Canterbury","DepTotal","full","80","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Southern","DepTotal","full","754","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Tairawhiti","DepTotal","full","46","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Taranaki","DepTotal","full","168","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Waikato","DepTotal","full","552","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Wairarapa","DepTotal","full","50","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Waitemata","DepTotal","full","1134","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"West Coast","DepTotal","full","25","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
NA,"Whanganui","DepTotal","full","29","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","National Total","DepTotal","full","9102","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Auckland","DepTotal","full","831","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Bay of Plenty","DepTotal","full","318","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Canterbury","DepTotal","full","1826","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Capital and Coast","DepTotal","full","867","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Counties Manukau","DepTotal","full","881","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Hawke's Bay","DepTotal","full","163","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Hutt Valley","DepTotal","full","361","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Lakes","DepTotal","full","98","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","MidCentral","DepTotal","full","206","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Nelson Marlborough","DepTotal","full","216","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Northland","DepTotal","full","92","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","South Canterbury","DepTotal","full","86","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Southern","DepTotal","full","846","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Tairawhiti","DepTotal","full","37","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Taranaki","DepTotal","full","191","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Waikato","DepTotal","full","641","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Wairarapa","DepTotal","full","66","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Waitemata","DepTotal","full","1310","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","West Coast","DepTotal","full","31","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"8 months","Whanganui","DepTotal","full","35","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","National Total","DepTotal","full","9560","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Auckland","DepTotal","full","862","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Bay of Plenty","DepTotal","full","324","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Canterbury","DepTotal","full","1918","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Capital and Coast","DepTotal","full","901","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Counties Manukau","DepTotal","full","935","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Hawke's Bay","DepTotal","full","157","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Hutt Valley","DepTotal","full","350","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Lakes","DepTotal","full","108","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","MidCentral","DepTotal","full","208","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Nelson Marlborough","DepTotal","full","218","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Northland","DepTotal","full","104","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","South Canterbury","DepTotal","full","97","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Southern","DepTotal","full","898","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Tairawhiti","DepTotal","full","41","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Taranaki","DepTotal","full","207","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Waikato","DepTotal","full","647","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Wairarapa","DepTotal","full","78","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Waitemata","DepTotal","full","1429","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","West Coast","DepTotal","full","35","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"12 months","Whanganui","DepTotal","full","43","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","National Total","DepTotal","full","8713","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Auckland","DepTotal","full","823","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Bay of Plenty","DepTotal","full","297","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Canterbury","DepTotal","full","1760","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Capital and Coast","DepTotal","full","861","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Counties Manukau","DepTotal","full","798","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Hawke's Bay","DepTotal","full","174","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Hutt Valley","DepTotal","full","306","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Lakes","DepTotal","full","100","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","MidCentral","DepTotal","full","212","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Nelson Marlborough","DepTotal","full","189","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","Northland","DepTotal","full","79","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
"18 months","South Canterbury","DepTotal","full","83","1 April 2020 to 31 March 2021 (Excel, 75 KB).xlsx","Deprivation"
